MAJOR  NFEV  NGEV           OBJFUN            GNORM            CNORM             FEAS              OPT             STEP 
    0     1     1     5.315647E-01     2.872181E-01     0.000000E+00     9.900000E+01     9.900000E+01     9.900000E+01 
    1     2     1     5.345583E-01     2.872181E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    2    13     2     5.369577E-01     8.588320E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    3    23     3     5.367466E-01     2.734424E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    4    26     4     5.367364E-01     1.368485E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    5    30     5     5.366921E-01     1.368466E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    6    34     6     5.364649E-01     1.368414E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    7    39     7     5.367377E-01     2.966939E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    8    43     8     5.366676E-01     2.966932E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    9    48     9     5.457230E-01     2.966922E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   10    54    10     5.651854E-01     2.453705E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   11    61    11     5.461706E-01     2.698449E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   12    63    12     5.461598E-01     2.698394E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   13    66    13     5.461113E-01     2.698380E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   14    69    14     5.592673E-01     2.698326E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   15    72    15     5.606127E-01     2.965708E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   16    76    16     5.659913E-01     2.965469E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   17    80    17     5.659135E-01     2.965366E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   18    84    18     5.657630E-01     2.965266E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   19    88    19     5.653948E-01     2.965151E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   20    92    20     5.655189E-01     2.964972E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   21    98    21     6.071538E-01     2.964943E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   22   105    22     6.789380E-01     2.964928E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   23   112    22     5.315110E-01     2.964928E-02     0.000000E+00     0.000000E+00    -7.461949E-08     3.282163E-01 
