MAJOR  NFEV  NGEV           OBJFUN            GNORM            CNORM             FEAS              OPT             STEP 
    0     1     1     6.707461E-01     1.185802E-01     0.000000E+00     9.900000E+01     9.900000E+01     9.900000E+01 
    1     2     1     1.757166E+01     1.185802E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    2     7     2     1.381250E+00     9.436715E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    3    11     3     6.714145E-01     4.291213E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    4    13     4     6.705617E-01     3.434895E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    5    14     5     6.705462E-01     3.161896E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    6    15     6     6.705418E-01     2.781148E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    7    16     7     6.705368E-01     2.836011E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    8    17     8     6.705303E-01     3.605542E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    9    18     9     6.705181E-01     3.084047E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   10    19    10     6.705401E-01     2.800633E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   11    21    11     6.707908E-01     2.791645E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   12    24    12     6.714792E-01     2.690253E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   13    27    13     6.713148E-01     2.690271E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   14    30    13     6.705138E-01     2.690271E-02     0.000000E+00     0.000000E+00    -3.193146E-07     2.420449E-01 
