MAJOR  NFEV  NGEV           OBJFUN            GNORM            CNORM             FEAS              OPT             STEP 
    0     1     1     1.018012E+00     2.635157E+00     0.000000E+00     9.900000E+01     9.900000E+01     9.900000E+01 
    1     2     1     1.173008E+00     2.635157E+00     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    2    13     2     1.556129E+01     1.939791E+00     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    3    21     3     1.551922E+01     1.291433E+00     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    4    27     4     1.099685E+00     4.500807E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    5    34     5     1.021208E+00     2.801276E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    6    36     6     1.026966E+00     2.612843E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    7    38     7     1.157940E+00     2.549023E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    8    40     7     1.015861E+00     2.549023E-01     0.000000E+00     0.000000E+00    -2.592364E-06     1.000000E-01 
