MAJOR  NFEV  NGEV           OBJFUN            GNORM            CNORM             FEAS              OPT             STEP 
    0     1     1     6.698376E-01     3.313803E-01     0.000000E+00     9.900000E+01     9.900000E+01     9.900000E+01 
    1     2     1     7.048338E+02     3.313803E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    2     8     2     8.153619E-01     1.049395E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    3    12     3     4.993435E+00     1.653538E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    4    16     4     6.746419E-01     8.911367E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    5    18     5     6.696910E-01     1.117949E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    6    19     6     6.696723E-01     4.809543E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    7    20     7     6.696705E-01     3.257071E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    8    21     8     6.696699E-01     4.318717E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    9    23     9     6.696657E-01     2.735102E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   10    24    10     6.696698E-01     3.625566E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   11    25    10     6.696651E-01     3.625566E-02     0.000000E+00     0.000000E+00    -6.947111E-07     2.198389E-01 
