MAJOR  NFEV  NGEV           OBJFUN            GNORM            CNORM             FEAS              OPT             STEP 
    0     1     1     7.207064E-01     2.715243E-01     0.000000E+00     9.900000E+01     9.900000E+01     9.900000E+01 
    1     2     1     1.955085E+03     2.715243E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    2     8     2     3.614754E+00     1.348509E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    3    11     3     7.210221E-01     2.359178E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    4    13     4     7.208159E-01     1.659593E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    5    15     5     7.210114E-01     3.706103E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    6    17     6     7.206200E-01     1.592228E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    7    18     7     7.206156E-01     5.928607E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    8    19     8     7.206312E-01     5.554100E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    9    21     9     7.213652E-01     4.881055E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
