MAJOR  NFEV  NGEV           OBJFUN            GNORM            CNORM             FEAS              OPT             STEP 
    0     1     1     1.008402E+00     3.042613E+00     0.000000E+00     9.900000E+01     9.900000E+01     9.900000E+01 
    1     2     1     2.219801E+04     3.042613E+00     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    2     7     2     1.015185E+00     1.626486E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    3     9     3     1.141507E+00     1.614161E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    4    11     4     1.009047E+00     2.128847E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    5    13     5     1.005864E+00     1.123637E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    6    14     6     1.005588E+00     8.510505E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    7    15     7     1.005028E+00     1.377847E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    8    16     8     1.004865E+00     8.231580E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    9    17     9     1.004811E+00     2.591340E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   10    18    10     1.004782E+00     1.606439E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   11    19    11     1.004780E+00     2.326523E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   12    21    12     1.004714E+00     5.251008E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   13    22    13     1.004622E+00     2.510868E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   14    23    14     1.004603E+00     1.250712E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   15    24    15     1.004503E+00     8.961889E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   16    25    16     1.004757E+00     7.246959E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   17    29    16     1.004501E+00     7.246959E-02     0.000000E+00     0.000000E+00    -1.556124E-06     4.811804E-01 
