MAJOR  NFEV  NGEV           OBJFUN            GNORM            CNORM             FEAS              OPT             STEP 
    0     1     1     1.118276E+00     9.507010E+00     0.000000E+00     9.900000E+01     9.900000E+01     9.900000E+01 
    1     2     1     7.972377E+04     9.507010E+00     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    2     7     2     5.384877E+00     8.150649E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    3    10     3     2.790690E+00     5.182126E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    4    12     4     1.074299E+00     2.676104E+00     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    5    13     5     1.087333E+00     1.662735E+00     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    6    15     6     1.071028E+00     7.699280E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    7    16     7     1.068391E+00     7.926345E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    8    17     8     1.066042E+00     2.325297E+00     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    9    18     9     1.066443E+00     3.016924E+00     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   10    20    10     1.064202E+00     2.024772E+00     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   11    21    11     1.063427E+00     2.874547E+00     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   12    22    12     1.064602E+00     3.384553E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   13    25    13     1.063307E+00     2.207475E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   14    26    14     1.063190E+00     8.335275E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   15    27    15     1.063135E+00     1.922198E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   16    28    16     1.063048E+00     9.945357E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   17    29    17     1.063086E+00     1.744139E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   18    30    17     1.063046E+00     1.744139E-01     0.000000E+00     0.000000E+00    -2.013927E-06     1.806984E-01 
