MAJOR  NFEV  NGEV           OBJFUN            GNORM            CNORM             FEAS              OPT             STEP 
    0     1     1     5.207816E-01     3.821215E-02     0.000000E+00     9.900000E+01     9.900000E+01     9.900000E+01 
    1     2     1     5.207784E-01     3.821215E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    2     3     2     5.207686E-01     3.974305E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    3     4     3     5.207552E-01     3.976256E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    4     5     4     5.207745E-01     3.986676E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    5     7     5     5.207412E-01     4.173703E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    6     8     6     5.207211E-01     3.876191E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    7     9     7     5.207080E-01     4.011679E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    8    10     8     5.206966E-01     4.012413E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    9    11     9     5.206985E-01     4.012794E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   10    13    10     5.207524E-01     4.011503E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   11    18    11     5.206934E-01     3.846080E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   12    19    12     5.206932E-01     4.010089E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   13    20    13     5.206932E-01     4.008736E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   14    20    13     5.206932E-01     4.008736E-02     0.000000E+00     0.000000E+00    -2.578009E-08     1.000000E+00 
