MAJOR  NFEV  NGEV           OBJFUN            GNORM            CNORM             FEAS              OPT             STEP 
    0     1     1     5.028364E+00     1.118781E+02     0.000000E+00     9.900000E+01     9.900000E+01     9.900000E+01 
    1     2     1     4.304084E+01     1.118781E+02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    2     9     2     3.400325E+01     4.461979E+01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    3    17     3     1.650363E+02     2.269797E+01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    4    23     4     5.021270E+00     6.393031E+00     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    5    31     5     3.013161E+00     2.828875E+00     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    6    39     6     2.385884E+00     2.316951E+00     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    7    46     7     1.249142E+00     9.243366E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    8    48     8     1.167335E+00     6.217497E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    9    50     9     1.168848E+00     3.898476E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   10    54    10     1.167472E+00     4.592536E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   11    56    11     1.167196E+00     3.779437E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   12    58    12     1.167396E+00     3.414261E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   13    60    13     1.166948E+00     3.049898E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   14    62    14     1.166879E+00     2.715345E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   15    64    15     1.455096E+00     2.853322E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   16    66    16     1.152588E+00     2.436729E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   17    67    17     1.152400E+00     1.417205E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   18    68    18     1.152043E+00     1.449070E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   19    69    19     1.162810E+00     1.356415E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   20    71    20     1.166830E+00     1.268135E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   21    73    21     1.166170E+00     1.148131E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   22    75    22     1.165969E+00     1.034308E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   23    77    23     1.165978E+00     9.308814E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   24    80    24     4.226144E+00     4.343894E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   25    83    24     1.151949E+00     4.343894E-02     0.000000E+00     0.000000E+00    -7.901765E-06     3.795406E-01 
