MAJOR  NFEV  NGEV           OBJFUN            GNORM            CNORM             FEAS              OPT             STEP 
    0     1     1     5.966185E-01     3.100021E-02     0.000000E+00     9.900000E+01     9.900000E+01     9.900000E+01 
    1     2     1     5.966213E-01     3.100021E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    2     4     2     5.971387E-01     3.801760E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    3     6     3     5.966451E-01     3.403540E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    4     8     4     5.966038E-01     3.161092E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    5     9     5     5.966070E-01     3.127860E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    6    12     6     5.966018E-01     3.326218E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    7    13     7     5.966002E-01     3.118434E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    8    14     8     5.965992E-01     3.103432E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    9    15     9     5.965987E-01     3.118301E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   10    16    10     5.965984E-01     3.314358E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   11    17    11     5.965975E-01     3.129243E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   12    18    12     5.966301E-01     3.127683E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   13    20    12     5.965975E-01     3.127683E-02     0.000000E+00     0.000000E+00    -5.272393E-08     1.585607E-01 
