MAJOR  NFEV  NGEV           OBJFUN            GNORM            CNORM             FEAS              OPT             STEP 
    0     1     1     6.032533E-01     9.312463E-02     0.000000E+00     9.900000E+01     9.900000E+01     9.900000E+01 
    1     2     1     6.026307E-01     9.312463E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    2    10     2     6.025566E-01     1.109517E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    3    16     3     6.020124E-01     9.457877E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    4    17     4     6.237435E-01     1.376110E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    5    19     5     7.028079E-01     1.712190E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    6    22     6     7.163993E-01     5.014052E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    7    27     7     6.326760E-01     2.095994E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    8    33     8     6.103889E-01     2.739197E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    9    37     9     5.950057E-01     7.017005E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   10    38    10     5.938061E-01     8.167783E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   11    39    11     5.956611E-01     5.253633E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   12    41    12     6.002752E-01     5.170380E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   13    44    13     6.019696E-01     1.245954E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   14    49    14     6.420096E-01     2.623333E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   15    53    15     5.939632E-01     5.076209E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   16    55    16     5.928068E-01     9.680365E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   17    56    17     6.088584E-01     2.557366E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   18    62    18     5.924223E-01     7.404761E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   19    63    19     5.940764E-01     6.855876E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   20    66    20     5.923225E-01     4.959263E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   21    73    21     5.922580E-01     6.683885E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   22    74    22     5.950941E-01     9.922391E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   23    79    23     5.991925E-01     9.914233E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   24    86    24     6.311632E-01     1.440464E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   25    89    25     6.062319E-01     1.161853E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   26    93    26     6.610099E-01     1.159553E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   27    98    27     5.921812E-01     4.649871E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   28   100    28     5.921242E-01     4.911640E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   29   101    29     5.921429E-01     6.350995E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   30   103    30     5.920704E-01     6.590307E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   31   104    31     5.923241E-01     5.390415E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   32   107    32     5.920910E-01     4.628636E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   33   109    33     5.926572E-01     4.624664E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   34   112    34     5.923258E-01     8.525163E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   35   116    35     5.934777E-01     8.522927E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   36   122    36     6.036360E-01     8.522169E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   37   128    36     5.920265E-01     8.522169E-02     0.000000E+00     0.000000E+00    -5.121148E-08     2.522149E-01 
