MAJOR  NFEV  NGEV           OBJFUN            GNORM            CNORM             FEAS              OPT             STEP 
    0     1     1     5.180979E-01     4.045883E-02     0.000000E+00     9.900000E+01     9.900000E+01     9.900000E+01 
    1     2     1     5.180699E-01     4.045883E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    2     3     2     5.180026E-01     4.017003E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    3     4     3     5.179754E-01     4.029543E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    4     5     4     5.178383E-01     4.020244E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    5     6     5     5.177078E-01     4.046034E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    6     7     6     5.177385E-01     4.110146E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    7    10     7     5.176705E-01     3.796231E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    8    11     8     5.176615E-01     3.762103E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    9    12     9     5.176553E-01     4.012453E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   10    13    10     5.176520E-01     3.758922E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   11    14    11     5.176662E-01     3.760240E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   12    17    12     5.176498E-01     4.018865E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   13    18    13     5.176488E-01     3.763301E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   14    19    14     5.176490E-01     3.767640E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   15    22    14     5.176488E-01     3.767640E-02     0.000000E+00     0.000000E+00    -1.247989E-08     4.935161E-01 
