MAJOR  NFEV  NGEV           OBJFUN            GNORM            CNORM             FEAS              OPT             STEP 
    0     1     1     5.125402E-01     3.768571E-02     0.000000E+00     9.900000E+01     9.900000E+01     9.900000E+01 
    1     2     1     5.125399E-01     3.768571E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    2     3     2     5.125391E-01     3.767960E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    3     4     3     5.125386E-01     3.765855E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    4     5     4     5.125383E-01     3.764362E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    5     6     5     5.125368E-01     3.764247E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    6     7     6     5.125421E-01     3.765200E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    7     8     6     5.125367E-01     3.765200E-02     0.000000E+00     0.000000E+00    -7.712750E-08     1.601282E-01 
