MAJOR  NFEV  NGEV           OBJFUN            GNORM            CNORM             FEAS              OPT             STEP 
    0     1     1     4.944552E-01     3.517446E-02     0.000000E+00     9.900000E+01     9.900000E+01     9.900000E+01 
    1     2     1     4.944480E-01     3.517446E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    2     3     2     4.944342E-01     3.448912E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    3     4     3     4.944104E-01     3.425143E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    4     5     4     4.944070E-01     3.373519E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    5     6     5     4.943773E-01     3.393140E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    6     7     6     4.943554E-01     3.343682E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    7     8     7     4.943418E-01     3.331175E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    8     9     8     4.943186E-01     3.331732E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    9    10     9     4.943062E-01     3.314857E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   10    11    10     4.942841E-01     3.321708E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   11    12    11     4.942795E-01     3.273828E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   12    13    12     4.942632E-01     3.289600E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   13    14    13     4.942217E-01     3.292244E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   14    15    14     4.941700E-01     3.282745E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   15    16    15     4.941148E-01     3.295437E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   16    17    16     4.940832E-01     3.321181E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   17    18    17     4.940565E-01     3.315519E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   18    19    18     4.940529E-01     3.316787E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   19    20    19     4.940523E-01     3.306348E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   20    21    20     4.940520E-01     3.303360E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   21    22    21     4.940508E-01     3.302623E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   22    23    22     4.940495E-01     3.300284E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   23    24    23     4.940484E-01     3.298973E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   24    25    24     4.940481E-01     3.299323E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   25    25    25     4.940481E-01     3.300811E-02     0.000000E+00     0.000000E+00     9.242829E-08     1.000000E+00 
