MAJOR  NFEV  NGEV           OBJFUN            GNORM            CNORM             FEAS              OPT             STEP 
    0     1     1     5.125367E-01     2.616631E-02     0.000000E+00     9.900000E+01     9.900000E+01     9.900000E+01 
    1     2     1     5.136605E-01     2.616631E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    2     5     2     5.294774E-01     2.651123E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    3     9     3     5.353175E-01     2.579480E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    4    13     4     5.354681E-01     2.579466E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    5    17     5     5.356402E-01     2.579454E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    6    22     6     5.359327E-01     2.579452E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    7    27     7     5.371732E-01     2.579450E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    8    32     8     5.375721E-01     2.579448E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    9    38     8     5.125250E-01     2.579448E-02     0.000000E+00     0.000000E+00    -4.592550E-09     2.025511E-01 
