MAJOR  NFEV  NGEV           OBJFUN            GNORM            CNORM             FEAS              OPT             STEP 
    0     1     1     7.214559E-01     6.981990E-01     0.000000E+00     9.900000E+01     9.900000E+01     9.900000E+01 
    1     2     1     8.816858E-01     6.981990E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    2    13     2     8.951272E-01     1.693536E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    3    17     3     3.300231E+00     2.236316E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    4    21     4     1.977016E+00     1.067261E-01     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    5    25     5     7.213481E-01     5.158267E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    6    27     6     7.213199E-01     2.991950E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    7    27     7     7.213199E-01     6.723841E-04     0.000000E+00     0.000000E+00     4.147681E-10     1.000000E+00 
