MAJOR  NFEV  NGEV           OBJFUN            GNORM            CNORM             FEAS              OPT             STEP 
    0     1     1     6.703088E-01     3.233862E-02     0.000000E+00     9.900000E+01     9.900000E+01     9.900000E+01 
    1     2     1     6.749262E-01     3.233862E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    2     4     2     6.704337E-01     1.220056E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    3     6     3     6.702667E-01     1.104668E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    4     9     4     6.702021E-01     1.269432E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    5    10     5     6.711200E-01     2.383594E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    6    12     6     6.703492E-01     2.163267E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    7    14     7     6.734896E-01     1.684688E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    8    16     8     6.786552E-01     1.456423E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    9    19     9     6.808007E-01     1.435292E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   10    22    10     6.813688E-01     1.416875E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   11    26    10     6.700925E-01     1.416875E-02     0.000000E+00     0.000000E+00    -6.295115E-08     1.012780E-01 
