MAJOR  NFEV  NGEV           OBJFUN            GNORM            CNORM             FEAS              OPT             STEP 
    0     1     1     6.726569E-01     2.264965E-02     0.000000E+00     9.900000E+01     9.900000E+01     9.900000E+01 
    1     2     1     6.734105E-01     2.264965E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    2     4     2     6.727492E-01     2.112984E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    3     6     3     6.724244E-01     2.832581E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    4     7     4     6.723902E-01     6.903110E-03     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    5     8     5     6.728239E-01     6.799466E-03     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    6    10     6     6.722328E-01     2.235819E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    7    11     7     6.721971E-01     2.537314E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    8    12     8     6.721885E-01     1.082515E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    9    12     9     6.721885E-01     8.314648E-05     0.000000E+00     0.000000E+00     7.872762E-10     1.000000E+00 
