MAJOR  NFEV  NGEV           OBJFUN            GNORM            CNORM             FEAS              OPT             STEP 
    0     1     1     6.705290E-01     2.509335E-02     0.000000E+00     9.900000E+01     9.900000E+01     9.900000E+01 
    1     2     1     6.725425E-01     2.509335E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    2     4     2     6.714792E-01     2.442089E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    3     7     3     6.704363E-01     1.719638E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    4     8     4     6.704550E-01     3.065893E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    5    11     5     6.702390E-01     2.930061E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    6    12     6     6.700821E-01     2.136487E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    7    13     7     6.698565E-01     1.996924E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    8    14     8     6.698479E-01     1.137682E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    9    15     9     6.698456E-01     3.137283E-03     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   10    16    10     6.698477E-01     1.646753E-03     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
   11    17    10     6.698452E-01     1.646753E-03     0.000000E+00     0.000000E+00    -3.800027E-07     3.984248E-01 
