MAJOR  NFEV  NGEV           OBJFUN            GNORM            CNORM             FEAS              OPT             STEP 
    0     1     1     6.705825E-01     1.060611E+00     0.000000E+00     9.900000E+01     9.900000E+01     9.900000E+01 
    1     2     1     9.226725E+03     1.060611E+00     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    2     8     2     1.436819E+00     7.487629E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    3    12     3     6.728949E-01     4.196159E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    4    14     4     6.711216E-01     4.397212E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    5    16     5     6.704669E-01     3.612682E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    6    17     6     6.704636E-01     2.994537E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    7    18     7     6.704650E-01     3.010856E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
    8    20     8     6.704651E-01     3.587871E-02     0.000000E+00     0.000000E+00     0.000000E+00     1.000000E+00 
